ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9733333587646484,84662400,142,12
mean,False,1.4873522559355479e-05,0.9733333587646484,84662400,142,12
mean,False,2.2122167138149962e-05,0.9733333587646484,84465600,141,12
mean,False,3.2903451938182116e-05,0.9733333587646484,84268800,140,12
mean,False,4.893902223557234e-05,0.9733333587646484,83678400,137,12
mean,False,7.278956763911992e-05,0.9733333587646484,82694400,132,12
mean,False,0.00010826366633409634,0.9666666984558105,81513600,126,12
mean,False,0.00016102619701996446,0.9666666984558105,79939200,118,12
mean,False,0.0002395026822341606,0.9733333587646484,77774400,107,12
mean,False,0.00035622483119368553,0.9666666984558105,75806400,97,12
mean,False,0.0005298317992128432,0.9666666984558105,73051200,83,12
mean,False,0.0007880465127527714,0.9800000190734863,70689600,71,12
mean,False,0.0011721020564436913,0.9800000190734863,68721600,61,12
mean,False,0.0017433286411687732,0.9866666793823242,66753600,51,12
mean,False,0.0025929436087608337,0.9800000190734863,65572800,45,12
mean,False,0.003856620518490672,0.9933333396911621,62613888,30,12
mean,False,0.005736153107136488,1.0,61229376,23,12
mean,False,0.008531680330634117,1.0,60245376,18,12
mean,False,0.01268961001187563,0.9933333396911621,59455872,14,12
mean,False,0.0188739150762558,1.0,58467264,9,12
mean,False,0.028072157874703407,0.9533333778381348,58073664,7,12
mean,False,0.04175318777561188,0.9666666984558105,58073664,7,12
mean,False,0.06210169568657875,0.9000000357627869,57874560,6,12
mean,False,0.09236709773540497,0.9666666984558105,57480960,4,12
mean,False,0.1373823583126068,0.8666666746139526,57284160,3,12
mean,False,0.20433597266674042,0.41333335638046265,57085056,2,12
mean,False,0.30391955375671387,0.41333335638046265,57085056,2,12
mean,False,0.4520353674888611,0.41333335638046265,57085056,2,12
mean,False,0.6723357439041138,0.03333333507180214,56888256,1,12
mean,False,1.0,0.03333333507180214,56888256,1,12
mean,True,9.999999747378752e-06,0.9733333587646484,84662400,142,12
mean,True,1.4873522559355479e-05,0.9733333587646484,84662400,142,12
mean,True,2.2122167138149962e-05,0.9733333587646484,84465600,141,12
mean,True,3.2903451938182116e-05,0.9733333587646484,84268800,140,12
mean,True,4.893902223557234e-05,0.9733333587646484,83678400,137,12
mean,True,7.278956763911992e-05,0.9733333587646484,82694400,132,12
mean,True,0.00010826366633409634,0.9666666984558105,81513600,126,12
mean,True,0.00016102619701996446,0.9666666984558105,79939200,118,12
mean,True,0.0002395026822341606,0.9733333587646484,77774400,107,12
mean,True,0.00035622483119368553,0.9666666984558105,75806400,97,12
mean,True,0.0005298317992128432,0.9666666984558105,73051200,83,12
mean,True,0.0007880465127527714,0.9800000190734863,70689600,71,12
mean,True,0.0011721020564436913,0.9800000190734863,68721600,61,12
mean,True,0.0017433286411687732,0.9866666793823242,66753600,51,12
