ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.8800000548362732,84859200,143,12
mean,False,1.4873522559355479e-05,0.8800000548362732,84859200,143,12
mean,False,2.2122167138149962e-05,0.8800000548362732,84465600,141,12
mean,False,3.2903451938182116e-05,0.8800000548362732,84268800,140,12
mean,False,4.893902223557234e-05,0.8800000548362732,84072000,139,12
mean,False,7.278956763911992e-05,0.8800000548362732,83481600,136,12
mean,False,0.00010826366633409634,0.8840000629425049,82497600,131,12
mean,False,0.00016102619701996446,0.8840000629425049,81120000,124,12
mean,False,0.0002395026822341606,0.8840000629425049,79742400,117,12
mean,False,0.00035622483119368553,0.8840000629425049,78758400,112,12
mean,False,0.0005298317992128432,0.8800000548362732,75412800,95,12
mean,False,0.0007880465127527714,0.8840000629425049,73248000,84,12
mean,False,0.0011721020564436913,0.8920000195503235,70099200,68,12
mean,False,0.0017433286411687732,0.9040000438690186,66753600,51,12
mean,False,0.0025929436087608337,0.9000000357627869,65179200,43,12
mean,False,0.003856620518490672,0.8800000548362732,62620800,30,12
mean,False,0.005736153107136488,0.9160000681877136,60456000,19,12
mean,False,0.008531680330634117,0.9360000491142273,59469696,14,12
mean,False,0.01268961001187563,0.9800000190734863,58677888,10,12
mean,False,0.0188739150762558,0.9760000705718994,58874688,11,12
mean,False,0.028072157874703407,0.956000030040741,57883776,6,12
mean,False,0.04175318777561188,0.9920000433921814,57684672,5,12
mean,False,0.06210169568657875,1.0,57087360,2,12
mean,False,0.09236709773540497,0.984000027179718,57087360,2,12
mean,False,0.1373823583126068,0.984000027179718,57087360,2,12
mean,False,0.20433597266674042,0.9320000410079956,56888256,1,12
mean,False,0.30391955375671387,0.9320000410079956,56888256,1,12
mean,False,0.4520353674888611,0.9320000410079956,56888256,1,12
mean,False,0.6723357439041138,0.9320000410079956,56888256,1,12
mean,False,1.0,0.9320000410079956,56888256,1,12
mean,True,9.999999747378752e-06,0.8800000548362732,84859200,143,12
mean,True,1.4873522559355479e-05,0.8800000548362732,84859200,143,12
mean,True,2.2122167138149962e-05,0.8800000548362732,84465600,141,12
mean,True,3.2903451938182116e-05,0.8800000548362732,84268800,140,12
mean,True,4.893902223557234e-05,0.8800000548362732,84072000,139,12
mean,True,7.278956763911992e-05,0.8800000548362732,83481600,136,12
mean,True,0.00010826366633409634,0.8840000629425049,82497600,131,12
mean,True,0.00016102619701996446,0.8840000629425049,81120000,124,12
mean,True,0.0002395026822341606,0.8840000629425049,79742400,117,12
mean,True,0.00035622483119368553,0.8840000629425049,78758400,112,12
mean,True,0.0005298317992128432,0.8800000548362732,75412800,95,12
mean,True,0.0007880465127527714,0.8840000629425049,73248000,84,12
mean,True,0.0011721020564436913,0.8920000195503235,70099200,68,12
mean,True,0.0017433286411687732,0.9040000438690186,66753600,51,12
mean,True,0.0025929436087608337,0.9000000357627869,65179200,43,12
mean,True,0.003856620518490672,0.8800000548362732,62620800,30,12
mean,True,0.005736153107136488,0.9160000681877136,60456000,19,12
mean,True,0.008531680330634117,0.9360000491142273,59469696,14,12
mean,True,0.01268961001187563,0.9800000190734863,58677888,10,12
mean,True,0.0188739150762558,0.9760000705718994,58874688,11,12
mean,True,0.028072157874703407,0.9320000410079956,43512768,5,9
mean,True,0.04175318777561188,0.7640000581741333,33666624,3,7
mean,True,0.06210169568657875,0.5440000295639038,28743552,2,6
mean,True,0.09236709773540497,0.35200002789497375,24019584,2,5
mean,True,0.1373823583126068,0.08400000631809235,14571648,2,3
mean,True,0.20433597266674042,0.0,5123712,2,1
mean,True,0.30391955375671387,0.0,4924608,1,1
mean,True,0.4520353674888611,0.0,200640,1,0
mean,True,0.6723357439041138,0.0,200640,1,0
mean,True,1.0,0.0,1536,0,0
zero,False,9.999999747378752e-06,0.8800000548362732,85056000,144,12
zero,False,1.4873522559355479e-05,0.8800000548362732,85056000,144,12
zero,False,2.2122167138149962e-05,0.8800000548362732,85056000,144,12
zero,False,3.2903451938182116e-05,0.8800000548362732,85056000,144,12
zero,False,4.893902223557234e-05,0.8800000548362732,85056000,144,12
zero,False,7.278956763911992e-05,0.8800000548362732,85056000,144,12
zero,False,0.00010826366633409634,0.8800000548362732,85056000,144,12
zero,False,0.00016102619701996446,0.8800000548362732,84859200,143,12
zero,False,0.0002395026822341606,0.8800000548362732,84662400,142,12
zero,False,0.00035622483119368553,0.8680000305175781,83678400,137,12
zero,False,0.0005298317992128432,0.8560000658035278,83088000,134,12
zero,False,0.0007880465127527714,0.8680000305175781,80726400,122,12
zero,False,0.0011721020564436913,0.8840000629425049,78364800,110,12
zero,False,0.0017433286411687732,0.8960000276565552,76003200,98,12
zero,False,0.0025929436087608337,0.8520000576972961,74035200,88,12
zero,False,0.003856620518490672,0.8880000710487366,71870400,77,12
zero,False,0.005736153107136488,0.8800000548362732,70886400,72,12
zero,False,0.008531680330634117,0.8400000333786011,66950400,52,12
zero,False,0.01268961001187563,0.7000000476837158,65964096,47,12
zero,False,0.0188739150762558,0.6000000238418579,64192896,38,12
