ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,1.0,82497600,131,12
mean,False,1.6102629160741344e-05,1.0,81907200,128,12
mean,False,2.5929437470040284e-05,1.0,80923200,123,12
mean,False,4.175321009824984e-05,1.0,79152000,114,12
mean,False,6.723357364535332e-05,1.0,76790400,102,12
mean,False,0.00010826366633409634,1.0,74822400,92,12
mean,False,0.00017433286120649427,1.0,72657600,81,12
mean,False,0.00028072157874703407,1.0,70099200,68,12
mean,False,0.0004520353104453534,1.0,65570496,45,12
mean,False,0.0007278956472873688,1.0,63996096,37,12
mean,False,0.0011721027549356222,1.0,61629888,25,12
mean,False,0.0018873924855142832,1.0,60842688,21,12
mean,False,0.00303919636644423,1.0,59659584,15,12
mean,False,0.004893902223557234,1.0,58870080,11,12
mean,False,0.007880465127527714,1.0,58078272,7,12
mean,False,0.012689606286585331,1.0,57881472,6,12
mean,False,0.020433591678738594,1.0,57485568,4,12
mean,False,0.032903436571359634,1.0,57485568,4,12
mean,False,0.05298316478729248,1.0,57286464,3,12
mean,False,0.08531677722930908,1.0,57286464,3,12
mean,False,0.1373823583126068,0.972,57087360,2,12
mean,False,0.22122159600257874,0.972,57087360,2,12
mean,False,0.35622474551200867,0.964,56888256,1,12
mean,False,0.5736151933670044,0.904,56689152,0,12
mean,False,0.923670768737793,0.904,56689152,0,12
mean,False,1.4873520135879517,0.904,56689152,0,12
mean,False,2.395026445388794,0.904,56689152,0,12
mean,False,3.8566205501556396,0.904,56689152,0,12
mean,False,6.210169315338135,0.904,56689152,0,12
mean,False,10.0,0.904,56689152,0,12
mean,True,9.999999747378752e-06,1.0,82497600,131,12
mean,True,1.6102629160741344e-05,1.0,81907200,128,12
mean,True,2.5929437470040284e-05,1.0,80923200,123,12
mean,True,4.175321009824984e-05,1.0,79152000,114,12
mean,True,6.723357364535332e-05,1.0,76790400,102,12
mean,True,0.00010826366633409634,1.0,74822400,92,12
mean,True,0.00017433286120649427,1.0,72657600,81,12
mean,True,0.00028072157874703407,1.0,70099200,68,12
mean,True,0.0004520353104453534,1.0,65570496,45,12
mean,True,0.0007278956472873688,1.0,63996096,37,12
mean,True,0.0011721027549356222,1.0,61629888,25,12
mean,True,0.0018873924855142832,1.0,60842688,21,12
mean,True,0.00303919636644423,1.0,59659584,15,12
mean,True,0.004893902223557234,1.0,58870080,11,12
mean,True,0.007880465127527714,1.0,53354304,7,11
mean,True,0.012689606286585331,1.0,38788800,5,8
mean,True,0.020433591678738594,1.0,34064832,5,7
mean,True,0.032903436571359634,0.996,29340864,5,6
mean,True,0.05298316478729248,1.0,24417792,4,5
mean,True,0.08531677722930908,1.0,14770752,3,3
mean,True,0.1373823583126068,0.956,19295616,2,4
mean,True,0.22122159600257874,0.984,9648576,1,2
mean,True,0.35622474551200867,0.888,1536,0,0
mean,True,0.5736151933670044,0.888,1536,0,0
mean,True,0.923670768737793,0.888,1536,0,0
mean,True,1.4873520135879517,0.888,1536,0,0
mean,True,2.395026445388794,0.888,1536,0,0
mean,True,3.8566205501556396,0.888,1536,0,0
mean,True,6.210169315338135,0.888,1536,0,0
mean,True,10.0,0.888,1536,0,0
zero,False,9.999999747378752e-06,1.0,85056000,144,12
zero,False,1.6102629160741344e-05,1.0,85056000,144,12
zero,False,2.5929437470040284e-05,1.0,85056000,144,12
zero,False,4.175321009824984e-05,1.0,83678400,137,12
zero,False,6.723357364535332e-05,1.0,83284800,135,12
zero,False,0.00010826366633409634,0.996,81513600,126,12
zero,False,0.00017433286120649427,0.996,80923200,123,12
zero,False,0.00028072157874703407,0.996,79152000,114,12
zero,False,0.0004520353104453534,1.0,78364800,110,12
zero,False,0.0007278956472873688,1.0,76790400,102,12
zero,False,0.0011721027549356222,1.0,76396800,100,12
zero,False,0.0018873924855142832,1.0,73444800,85,12
zero,False,0.00303919636644423,1.0,69508800,65,12
zero,False,0.004893902223557234,0.992,66950400,52,12
zero,False,0.007880465127527714,0.98,64586496,40,12
zero,False,0.012689606286585331,0.992,62220288,28,12
zero,False,0.020433591678738594,0.0,61824384,26,12
zero,False,0.032903436571359634,0.036,61826688,26,12
zero,False,0.05298316478729248,0.244,61037184,22,12
zero,False,0.08531677722930908,0.072,61034880,22,12
zero,False,0.1373823583126068,0.264,60442176,19,12
zero,False,0.22122159600257874,0.076,60048576,17,12
zero,False,0.35622474551200867,0.0,58668672,10,12
zero,False,0.5736151933670044,0.0,57480960,4,12
zero,False,0.923670768737793,0.0,56888256,1,12
zero,False,1.4873520135879517,0.0,56689152,0,12
zero,False,2.395026445388794,0.0,56689152,0,12
zero,False,3.8566205501556396,0.0,56689152,0,12
zero,False,6.210169315338135,0.0,56689152,0,12
