ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9733333587646484,84662400,142,12
mean,False,1.4873522559355479e-05,0.9666666984558105,84465600,141,12
mean,False,2.2122167138149962e-05,0.9733333587646484,84268800,140,12
mean,False,3.2903451938182116e-05,0.9733333587646484,84268800,140,12
mean,False,4.893902223557234e-05,0.9666666984558105,83875200,138,12
mean,False,7.278956763911992e-05,0.9666666984558105,82497600,131,12
mean,False,0.00010826366633409634,0.9800000190734863,81120000,124,12
mean,False,0.00016102619701996446,0.9800000190734863,79939200,118,12
mean,False,0.0002395026822341606,0.9800000190734863,77774400,107,12
mean,False,0.00035622483119368553,0.9800000190734863,75609600,96,12
mean,False,0.0005298317992128432,0.9800000190734863,73444800,85,12
mean,False,0.0007880465127527714,0.9733333587646484,71280000,74,12
mean,False,0.0011721020564436913,0.9800000190734863,68721600,61,12
mean,False,0.0017433286411687732,0.9866666793823242,67540800,55,12
mean,False,0.0025929436087608337,0.9866666793823242,64982400,42,12
mean,False,0.003856620518490672,1.0,63014400,32,12
mean,False,0.005736153107136488,0.9866666793823242,61627584,25,12
mean,False,0.008531680330634117,1.0,60638976,20,12
mean,False,0.01268961001187563,0.9933333396911621,59849472,16,12
mean,False,0.0188739150762558,0.9866666793823242,59259072,13,12
mean,False,0.028072157874703407,0.9933333396911621,58270464,8,12
mean,False,0.04175318777561188,0.9266666769981384,58073664,7,12
mean,False,0.06210169568657875,0.846666693687439,57874560,6,12
mean,False,0.09236709773540497,0.9266666769981384,57480960,4,12
mean,False,0.1373823583126068,0.8600000143051147,57284160,3,12
mean,False,0.20433597266674042,0.54666668176651,57284160,3,12
mean,False,0.30391955375671387,0.31333333253860474,57085056,2,12
mean,False,0.4520353674888611,0.31333333253860474,57085056,2,12
mean,False,0.6723357439041138,0.046666666865348816,56888256,1,12
mean,False,1.0,0.046666666865348816,56888256,1,12
mean,True,9.999999747378752e-06,0.9733333587646484,84662400,142,12
mean,True,1.4873522559355479e-05,0.9666666984558105,84465600,141,12
mean,True,2.2122167138149962e-05,0.9733333587646484,84268800,140,12
mean,True,3.2903451938182116e-05,0.9733333587646484,84268800,140,12
mean,True,4.893902223557234e-05,0.9666666984558105,83875200,138,12
mean,True,7.278956763911992e-05,0.9666666984558105,82497600,131,12
mean,True,0.00010826366633409634,0.9800000190734863,81120000,124,12
mean,True,0.00016102619701996446,0.9800000190734863,79939200,118,12
mean,True,0.0002395026822341606,0.9800000190734863,77774400,107,12
