ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.992,82694400,132,12
mean,False,1.6102629160741344e-05,0.992,81710400,127,12
mean,False,2.5929437470040284e-05,0.992,80923200,123,12
mean,False,4.175321009824984e-05,0.996,78955200,113,12
mean,False,6.723357364535332e-05,0.996,76790400,102,12
mean,False,0.00010826366633409634,0.996,74625600,91,12
mean,False,0.00017433286120649427,0.996,72657600,81,12
mean,False,0.00028072157874703407,0.996,69703296,66,12
mean,False,0.0004520353104453534,0.996,66554496,50,12
mean,False,0.0007278956472873688,1.0,63208896,33,12
mean,False,0.0011721027549356222,1.0,61236288,23,12
mean,False,0.0018873924855142832,1.0,60645888,20,12
mean,False,0.00303919636644423,1.0,59263680,13,12
mean,False,0.004893902223557234,1.0,58870080,11,12
mean,False,0.007880465127527714,1.0,57881472,6,12
mean,False,0.012689606286585331,1.0,57684672,5,12
mean,False,0.020433591678738594,1.0,57485568,4,12
mean,False,0.032903436571359634,1.0,57485568,4,12
mean,False,0.05298316478729248,1.0,57286464,3,12
mean,False,0.08531677722930908,1.0,57286464,3,12
mean,False,0.1373823583126068,0.968,57087360,2,12
mean,False,0.22122159600257874,0.968,57087360,2,12
mean,False,0.35622474551200867,0.972,56888256,1,12
mean,False,0.5736151933670044,0.94,56689152,0,12
mean,False,0.923670768737793,0.94,56689152,0,12
mean,False,1.4873520135879517,0.94,56689152,0,12
mean,False,2.395026445388794,0.94,56689152,0,12
mean,False,3.8566205501556396,0.94,56689152,0,12
mean,False,6.210169315338135,0.94,56689152,0,12
mean,False,10.0,0.94,56689152,0,12
mean,True,9.999999747378752e-06,0.992,82694400,132,12
mean,True,1.6102629160741344e-05,0.992,81710400,127,12
mean,True,2.5929437470040284e-05,0.992,80923200,123,12
mean,True,4.175321009824984e-05,0.996,78955200,113,12
mean,True,6.723357364535332e-05,0.996,76790400,102,12
mean,True,0.00010826366633409634,0.996,74625600,91,12
mean,True,0.00017433286120649427,0.996,72657600,81,12
mean,True,0.00028072157874703407,0.996,69703296,66,12
mean,True,0.0004520353104453534,0.996,66554496,50,12
mean,True,0.0007278956472873688,1.0,63208896,33,12
mean,True,0.0011721027549356222,1.0,61236288,23,12
mean,True,0.0018873924855142832,1.0,60645888,20,12
mean,True,0.00303919636644423,1.0,59263680,13,12
mean,True,0.004893902223557234,1.0,58870080,11,12
mean,True,0.007880465127527714,1.0,43709568,6,9
mean,True,0.012689606286585331,1.0,38788800,5,8
mean,True,0.020433591678738594,1.0,34064832,5,7
mean,True,0.032903436571359634,0.996,24616896,5,5
mean,True,0.05298316478729248,1.0,24417792,4,5
