ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,True,3.8566205501556396,0.94,1536,0,0
mean,True,6.210169315338135,0.94,1536,0,0
mean,True,10.0,0.94,1536,0,0
zero,False,9.999999747378752e-06,0.996,85056000,144,12
zero,False,1.6102629160741344e-05,0.996,85056000,144,12
zero,False,2.5929437470040284e-05,0.996,85056000,144,12
zero,False,4.175321009824984e-05,1.0,83875200,138,12
zero,False,6.723357364535332e-05,0.996,83481600,136,12
zero,False,0.00010826366633409634,1.0,81907200,128,12
zero,False,0.00017433286120649427,0.996,80923200,123,12
zero,False,0.00028072157874703407,1.0,79152000,114,12
zero,False,0.0004520353104453534,1.0,78364800,110,12
zero,False,0.0007278956472873688,0.996,77184000,104,12
zero,False,0.0011721027549356222,0.996,76003200,98,12
zero,False,0.0018873924855142832,1.0,72460800,80,12
zero,False,0.00303919636644423,0.996,70099200,68,12
zero,False,0.004893902223557234,0.996,68131200,58,12
zero,False,0.007880465127527714,1.0,63996096,37,12
zero,False,0.012689606286585331,0.968,61826688,26,12
zero,False,0.020433591678738594,0.344,61824384,26,12
zero,False,0.032903436571359634,0.028,61826688,26,12
zero,False,0.05298316478729248,0.268,61233984,23,12
zero,False,0.08531677722930908,0.2,60643584,20,12
zero,False,0.1373823583126068,0.212,60048576,17,12
zero,False,0.22122159600257874,0.044,60048576,17,12
zero,False,0.35622474551200867,0.0,58668672,10,12
zero,False,0.5736151933670044,0.0,57480960,4,12
zero,False,0.923670768737793,0.0,56689152,0,12
zero,False,1.4873520135879517,0.0,56689152,0,12
zero,False,2.395026445388794,0.0,56689152,0,12
zero,False,3.8566205501556396,0.0,56689152,0,12
zero,False,6.210169315338135,0.0,56689152,0,12
zero,False,10.0,0.0,56689152,0,12
zero,True,9.999999747378752e-06,0.996,85056000,144,12
zero,True,1.6102629160741344e-05,0.996,85056000,144,12
zero,True,2.5929437470040284e-05,0.996,85056000,144,12
zero,True,4.175321009824984e-05,1.0,83875200,138,12
zero,True,6.723357364535332e-05,0.996,83481600,136,12
zero,True,0.00010826366633409634,1.0,81907200,128,12
zero,True,0.00017433286120649427,0.996,80923200,123,12
zero,True,0.00028072157874703407,1.0,79152000,114,12
zero,True,0.0004520353104453534,1.0,78364800,110,12
zero,True,0.0007278956472873688,0.996,77184000,104,12
zero,True,0.0011721027549356222,0.996,76003200,98,12
zero,True,0.0018873924855142832,1.0,72460800,80,12
zero,True,0.00303919636644423,0.996,70099200,68,12
zero,True,0.004893902223557234,0.996,68131200,58,12
zero,True,0.007880465127527714,1.0,63996096,37,12
zero,True,0.012689606286585331,0.968,61826688,26,12
zero,True,0.020433591678738594,0.344,61824384,26,12
zero,True,0.032903436571359634,0.184,56118720,21,11
zero,True,0.05298316478729248,0.0,56313216,22,11
zero,True,0.08531677722930908,0.024,46471680,20,9
zero,True,0.1373823583126068,0.124,50799744,18,10
zero,True,0.22122159600257874,0.452,30327168,10,6
zero,True,0.35622474551200867,0.992,39772800,10,8
zero,True,0.5736151933670044,0.804,25010496,7,5
zero,True,0.923670768737793,0.804,14571648,2,3
zero,True,1.4873520135879517,0.892,4725504,0,1
zero,True,2.395026445388794,0.892,4725504,0,1
zero,True,3.8566205501556396,0.892,4725504,0,1
zero,True,6.210169315338135,0.932,1536,0,0
zero,True,10.0,0.932,1536,0,0
