ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.9000000357627869,84859200,143,12
mean,False,1.4873522559355479e-05,0.9040000438690186,84662400,142,12
mean,False,2.2122167138149962e-05,0.9000000357627869,84268800,140,12
mean,False,3.2903451938182116e-05,0.9000000357627869,84268800,140,12
mean,False,4.893902223557234e-05,0.9000000357627869,84072000,139,12
mean,False,7.278956763911992e-05,0.9000000357627869,83678400,137,12
mean,False,0.00010826366633409634,0.9080000519752502,82300800,130,12
mean,False,0.00016102619701996446,0.9080000519752502,81316800,125,12
mean,False,0.0002395026822341606,0.9000000357627869,79152000,114,12
mean,False,0.00035622483119368553,0.9080000519752502,77577600,106,12
mean,False,0.0005298317992128432,0.9040000438690186,75019200,93,12
mean,False,0.0007880465127527714,0.8920000195503235,73838400,87,12
mean,False,0.0011721020564436913,0.8920000195503235,70099200,68,12
mean,False,0.0017433286411687732,0.8840000629425049,66556800,50,12
mean,False,0.0025929436087608337,0.8880000710487366,63998400,37,12
mean,False,0.003856620518490672,0.9080000519752502,62817600,31,12
mean,False,0.005736153107136488,0.9080000519752502,60650496,20,12
mean,False,0.008531680330634117,0.9120000600814819,59664192,15,12
mean,False,0.01268961001187563,0.9360000491142273,58677888,10,12
mean,False,0.0188739150762558,0.9440000653266907,58478784,9,12
mean,False,0.028072157874703407,0.9520000219345093,57883776,6,12
mean,False,0.04175318777561188,0.968000054359436,57684672,5,12
mean,False,0.06210169568657875,0.984000027179718,57485568,4,12
mean,False,0.09236709773540497,0.9960000514984131,57087360,2,12
mean,False,0.1373823583126068,0.8600000143051147,56888256,1,12
mean,False,0.20433597266674042,0.8600000143051147,56888256,1,12
mean,False,0.30391955375671387,0.8600000143051147,56888256,1,12
mean,False,0.4520353674888611,0.8600000143051147,56888256,1,12
mean,False,0.6723357439041138,0.8600000143051147,56888256,1,12
mean,False,1.0,0.8600000143051147,56888256,1,12
mean,True,9.999999747378752e-06,0.9000000357627869,84859200,143,12
mean,True,1.4873522559355479e-05,0.9040000438690186,84662400,142,12
mean,True,2.2122167138149962e-05,0.9000000357627869,84268800,140,12
mean,True,3.2903451938182116e-05,0.9000000357627869,84268800,140,12
mean,True,4.893902223557234e-05,0.9000000357627869,84072000,139,12
mean,True,7.278956763911992e-05,0.9000000357627869,83678400,137,12
mean,True,0.00010826366633409634,0.9080000519752502,82300800,130,12
mean,True,0.00016102619701996446,0.9080000519752502,81316800,125,12
mean,True,0.0002395026822341606,0.9000000357627869,79152000,114,12
mean,True,0.00035622483119368553,0.9080000519752502,77577600,106,12
mean,True,0.0005298317992128432,0.9040000438690186,75019200,93,12
mean,True,0.0007880465127527714,0.8920000195503235,73838400,87,12
mean,True,0.0011721020564436913,0.8920000195503235,70099200,68,12
mean,True,0.0017433286411687732,0.8840000629425049,66556800,50,12
mean,True,0.0025929436087608337,0.8880000710487366,63998400,37,12
mean,True,0.003856620518490672,0.9080000519752502,62817600,31,12
mean,True,0.005736153107136488,0.9080000519752502,60650496,20,12
mean,True,0.008531680330634117,0.9120000600814819,59664192,15,12
mean,True,0.01268961001187563,0.9360000491142273,58677888,10,12
mean,True,0.0188739150762558,0.9440000653266907,58478784,9,12
mean,True,0.028072157874703407,0.9880000352859497,43910976,7,9
mean,True,0.04175318777561188,0.7760000228881836,33666624,3,7
mean,True,0.06210169568657875,0.5680000185966492,24218688,3,5
mean,True,0.09236709773540497,0.14000000059604645,19295616,2,4
mean,True,0.1373823583126068,0.06000000238418579,14571648,2,3
mean,True,0.20433597266674042,0.0,5123712,2,1
mean,True,0.30391955375671387,0.0,4924608,1,1
mean,True,0.4520353674888611,0.0,200640,1,0
mean,True,0.6723357439041138,0.0,200640,1,0
mean,True,1.0,0.0,1536,0,0
zero,False,9.999999747378752e-06,0.9040000438690186,85056000,144,12
zero,False,1.4873522559355479e-05,0.9040000438690186,85056000,144,12
zero,False,2.2122167138149962e-05,0.9040000438690186,85056000,144,12
zero,False,3.2903451938182116e-05,0.9040000438690186,85056000,144,12
zero,False,4.893902223557234e-05,0.9040000438690186,85056000,144,12
zero,False,7.278956763911992e-05,0.9040000438690186,85056000,144,12
zero,False,0.00010826366633409634,0.9040000438690186,85056000,144,12
zero,False,0.00016102619701996446,0.9040000438690186,85056000,144,12
zero,False,0.0002395026822341606,0.9080000519752502,84662400,142,12
zero,False,0.00035622483119368553,0.8960000276565552,83678400,137,12
zero,False,0.0005298317992128432,0.8840000629425049,82104000,129,12
zero,False,0.0007880465127527714,0.8760000467300415,79939200,118,12
zero,False,0.0011721020564436913,0.8880000710487366,78364800,110,12
zero,False,0.0017433286411687732,0.8920000195503235,75806400,97,12
zero,False,0.0025929436087608337,0.8640000224113464,74035200,88,12
zero,False,0.003856620518490672,0.9200000166893005,72854400,82,12
zero,False,0.005736153107136488,0.9360000491142273,70099200,68,12
zero,False,0.008531680330634117,0.5920000076293945,67737600,56,12
zero,False,0.01268961001187563,0.6720000505447388,65767296,46,12
zero,False,0.0188739150762558,0.492000013589859,64783296,41,12
zero,False,0.028072157874703407,0.41200003027915955,63206592,33,12
zero,False,0.04175318777561188,0.036000002175569534,61632192,25,12
zero,False,0.06210169568657875,0.6240000128746033,62023488,27,12
zero,False,0.09236709773540497,0.020000001415610313,60444480,19,12
zero,False,0.1373823583126068,0.036000002175569534,60050880,17,12
zero,False,0.20433597266674042,0.04000000283122063,58867776,11,12
zero,False,0.30391955375671387,0.0,58075968,7,12
zero,False,0.4520353674888611,0.0,57682368,5,12
zero,False,0.6723357439041138,0.0,57087360,2,12
zero,False,1.0,0.0,56888256,1,12
zero,True,9.999999747378752e-06,0.9040000438690186,85056000,144,12
zero,True,1.4873522559355479e-05,0.9040000438690186,85056000,144,12
