ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
mean,False,9.999999747378752e-06,0.996,82694400,132,12
mean,False,1.6102629160741344e-05,0.996,81907200,128,12
mean,False,2.5929437470040284e-05,0.996,80923200,123,12
mean,False,4.175321009824984e-05,1.0,78955200,113,12
mean,False,6.723357364535332e-05,1.0,76593600,101,12
mean,False,0.00010826366633409634,1.0,74625600,91,12
mean,False,0.00017433286120649427,1.0,72657600,81,12
mean,False,0.00028072157874703407,1.0,68325696,59,12
mean,False,0.0004520353104453534,1.0,65767296,46,12
mean,False,0.0007278956472873688,1.0,62812992,31,12
mean,False,0.0011721027549356222,1.0,61039488,22,12
mean,False,0.0018873924855142832,1.0,60446784,19,12
mean,False,0.00303919636644423,1.0,59263680,13,12
mean,False,0.004893902223557234,1.0,58870080,11,12
mean,False,0.007880465127527714,1.0,57881472,6,12
mean,False,0.012689606286585331,1.0,57684672,5,12
mean,False,0.020433591678738594,1.0,57485568,4,12
mean,False,0.032903436571359634,1.0,57286464,3,12
mean,False,0.05298316478729248,1.0,57286464,3,12
mean,False,0.08531677722930908,1.0,57286464,3,12
mean,False,0.1373823583126068,0.948,57087360,2,12
mean,False,0.22122159600257874,0.96,56888256,1,12
mean,False,0.35622474551200867,0.96,56888256,1,12
mean,False,0.5736151933670044,0.928,56689152,0,12
mean,False,0.923670768737793,0.928,56689152,0,12
mean,False,1.4873520135879517,0.928,56689152,0,12
mean,False,2.395026445388794,0.928,56689152,0,12
mean,False,3.8566205501556396,0.928,56689152,0,12
mean,False,6.210169315338135,0.928,56689152,0,12
mean,False,10.0,0.928,56689152,0,12
mean,True,9.999999747378752e-06,0.996,82694400,132,12
mean,True,1.6102629160741344e-05,0.996,81907200,128,12
mean,True,2.5929437470040284e-05,0.996,80923200,123,12
mean,True,4.175321009824984e-05,1.0,78955200,113,12
mean,True,6.723357364535332e-05,1.0,76593600,101,12
mean,True,0.00010826366633409634,1.0,74625600,91,12
mean,True,0.00017433286120649427,1.0,72657600,81,12
mean,True,0.00028072157874703407,1.0,68325696,59,12
mean,True,0.0004520353104453534,1.0,65767296,46,12
mean,True,0.0007278956472873688,1.0,62812992,31,12
mean,True,0.0011721027549356222,1.0,61039488,22,12
mean,True,0.0018873924855142832,1.0,60446784,19,12
mean,True,0.00303919636644423,1.0,59263680,13,12
mean,True,0.004893902223557234,1.0,53750208,9,11
mean,True,0.007880465127527714,1.0,43709568,6,9
mean,True,0.012689606286585331,1.0,38788800,5,8
mean,True,0.020433591678738594,1.0,34064832,5,7
mean,True,0.032903436571359634,0.996,29340864,5,6
mean,True,0.05298316478729248,0.996,24417792,4,5
mean,True,0.08531677722930908,1.0,14571648,2,3
mean,True,0.1373823583126068,0.94,19295616,2,4
mean,True,0.22122159600257874,0.972,9648576,1,2
mean,True,0.35622474551200867,0.928,1536,0,0
mean,True,0.5736151933670044,0.928,1536,0,0
mean,True,0.923670768737793,0.928,1536,0,0
mean,True,1.4873520135879517,0.928,1536,0,0
mean,True,2.395026445388794,0.928,1536,0,0
mean,True,3.8566205501556396,0.928,1536,0,0
mean,True,6.210169315338135,0.928,1536,0,0
mean,True,10.0,0.928,1536,0,0
zero,False,9.999999747378752e-06,0.996,85056000,144,12
zero,False,1.6102629160741344e-05,0.996,85056000,144,12
zero,False,2.5929437470040284e-05,0.996,85056000,144,12
zero,False,4.175321009824984e-05,1.0,83678400,137,12
zero,False,6.723357364535332e-05,1.0,83481600,136,12
zero,False,0.00010826366633409634,1.0,81513600,126,12
zero,False,0.00017433286120649427,1.0,80923200,123,12
zero,False,0.00028072157874703407,0.996,79152000,114,12
zero,False,0.0004520353104453534,0.996,78364800,110,12
zero,False,0.0007278956472873688,1.0,77184000,104,12
zero,False,0.0011721027549356222,1.0,76790400,102,12
zero,False,0.0018873924855142832,1.0,73248000,84,12
zero,False,0.00303919636644423,0.884,68131200,58,12
zero,False,0.004893902223557234,1.0,67934400,57,12
zero,False,0.007880465127527714,0.008,63996096,37,12
zero,False,0.012689606286585331,0.988,62222592,28,12
zero,False,0.020433591678738594,0.096,61039488,22,12
zero,False,0.032903436571359634,0.032,61826688,26,12
zero,False,0.05298316478729248,0.404,61034880,22,12
zero,False,0.08531677722930908,0.0,60838080,21,12
zero,False,0.1373823583126068,0.236,60442176,19,12
zero,False,0.22122159600257874,0.068,60048576,17,12
zero,False,0.35622474551200867,0.0,58865472,11,12
zero,False,0.5736151933670044,0.0,57480960,4,12
zero,False,0.923670768737793,0.0,56689152,0,12
zero,False,1.4873520135879517,0.0,56689152,0,12
zero,False,2.395026445388794,0.0,56689152,0,12
zero,False,3.8566205501556396,0.0,56689152,0,12
zero,False,6.210169315338135,0.0,56689152,0,12
zero,False,10.0,0.0,56689152,0,12
zero,True,9.999999747378752e-06,0.996,85056000,144,12
zero,True,1.6102629160741344e-05,0.996,85056000,144,12
zero,True,2.5929437470040284e-05,0.996,85056000,144,12
zero,True,4.175321009824984e-05,1.0,83678400,137,12
zero,True,6.723357364535332e-05,1.0,83481600,136,12
zero,True,0.00010826366633409634,1.0,81513600,126,12
zero,True,0.00017433286120649427,1.0,80923200,123,12
zero,True,0.00028072157874703407,0.996,79152000,114,12
zero,True,0.0004520353104453534,0.996,78364800,110,12
zero,True,0.0007278956472873688,1.0,77184000,104,12
zero,True,0.0011721027549356222,1.0,76790400,102,12
zero,True,0.0018873924855142832,1.0,73248000,84,12
zero,True,0.00303919636644423,0.884,68131200,58,12
zero,True,0.004893902223557234,1.0,67934400,57,12
zero,True,0.007880465127527714,0.008,63996096,37,12
zero,True,0.012689606286585331,0.988,62222592,28,12
zero,True,0.020433591678738594,0.096,61039488,22,12
zero,True,0.032903436571359634,0.164,56116416,21,11
zero,True,0.05298316478729248,0.0,56313216,22,11
zero,True,0.08531677722930908,0.02,55917312,20,11
zero,True,0.1373823583126068,0.092,50799744,18,10
zero,True,0.22122159600257874,0.012,45091776,13,9
zero,True,0.35622474551200867,0.996,39772800,10,8
zero,True,0.5736151933670044,0.776,24813696,6,5
zero,True,0.923670768737793,0.776,14571648,2,3
zero,True,1.4873520135879517,0.84,4725504,0,1
zero,True,2.395026445388794,0.84,4725504,0,1
zero,True,3.8566205501556396,0.84,4725504,0,1
zero,True,6.210169315338135,1.0,1536,0,0
zero,True,10.0,1.0,1536,0,0
