ablation_scheme,include_mlps,threshold,accuracy,size,n_heads,n_mlp
zero,True,0.007880465127527714,1.0,63996096,37,12
zero,True,0.012689606286585331,0.004,63206592,33,12
zero,True,0.020433591678738594,0.024,63206592,33,12
zero,True,0.032903436571359634,0.144,56709120,24,11
zero,True,0.05298316478729248,0.0,56313216,22,11
zero,True,0.08531677722930908,0.036,55917312,20,11
zero,True,0.1373823583126068,0.104,50996544,19,10
zero,True,0.22122159600257874,0.004,45091776,13,9
zero,True,0.35622474551200867,0.996,39772800,10,8
zero,True,0.5736151933670044,0.728,25600896,10,5
zero,True,0.923670768737793,0.752,14571648,2,3
zero,True,1.4873520135879517,0.752,14571648,2,3
zero,True,2.395026445388794,0.764,4725504,0,1
zero,True,3.8566205501556396,0.764,4725504,0,1
zero,True,6.210169315338135,0.924,1536,0,0
zero,True,10.0,0.924,1536,0,0
