threshold,TPR,FPR
9.999999747378752e-06,1.0,1.0
1.4873522559355479e-05,1.0,1.0
2.2122167138149962e-05,1.0,1.0
3.2903451938182116e-05,1.0,1.0
4.893902223557234e-05,1.0,1.0
7.278956763911992e-05,1.0,1.0
0.00010826366633409634,1.0,1.0
0.00016102619701996446,1.0,0.9926470588235294
0.0002395026822341606,1.0,0.9852941176470589
0.00035622483119368553,1.0,0.9485294117647058
0.0005298317992128432,1.0,0.9264705882352942
0.0007880465127527714,1.0,0.8529411764705882
0.0011721020564436913,1.0,0.7647058823529411
0.0017433286411687732,1.0,0.6691176470588235
0.0025929436087608337,1.0,0.6102941176470589
0.003856620518490672,0.875,0.5367647058823529
0.005736153107136488,0.75,0.47794117647058826
0.008531680330634117,0.75,0.3088235294117647
0.01268961001187563,0.625,0.2867647058823529
0.0188739150762558,0.75,0.25735294117647056
0.028072157874703407,0.5,0.23529411764705882
0.04175318777561188,0.625,0.13970588235294118
0.06210169568657875,0.625,0.125
0.09236709773540497,0.375,0.125
0.1373823583126068,0.375,0.11029411764705882
0.20433597266674042,0.375,0.07352941176470588
0.30391955375671387,0.5,0.022058823529411766
0.4520353674888611,0.25,0.022058823529411766
0.6723357439041138,0.125,0.007352941176470588
1.0,0.125,0.0
