threshold,TPR,FPR
9.999999747378752e-06,1.0,0.9834710743801653
1.4873522559355479e-05,1.0,0.9752066115702479
2.2122167138149962e-05,1.0,0.9669421487603306
3.2903451938182116e-05,1.0,0.9586776859504132
4.893902223557234e-05,1.0,0.9256198347107438
7.278956763911992e-05,1.0,0.8677685950413223
0.00010826366633409634,1.0,0.859504132231405
0.00016102619701996446,1.0,0.7851239669421488
0.0002395026822341606,0.9565217391304348,0.6776859504132231
0.00035622483119368553,0.9565217391304348,0.6033057851239669
0.0005298317992128432,0.9565217391304348,0.5041322314049587
0.0007880465127527714,0.9565217391304348,0.4214876033057851
0.0011721020564436913,0.9565217391304348,0.34710743801652894
0.0017433286411687732,0.8260869565217391,0.2975206611570248
0.0025929436087608337,0.782608695652174,0.19008264462809918
0.003856620518490672,0.6956521739130435,0.12396694214876033
0.005736153107136488,0.6521739130434783,0.0743801652892562
0.008531680330634117,0.5652173913043478,0.05785123966942149
0.01268961001187563,0.4782608695652174,0.03305785123966942
0.0188739150762558,0.34782608695652173,0.008264462809917356
0.028072157874703407,0.34782608695652173,0.0
0.04175318777561188,0.30434782608695654,0.0
0.06210169568657875,0.17391304347826086,0.0
0.09236709773540497,0.17391304347826086,0.0
0.1373823583126068,0.13043478260869565,0.0
0.20433597266674042,0.08695652173913043,0.0
0.30391955375671387,0.08695652173913043,0.0
0.4520353674888611,0.08695652173913043,0.0
0.6723357439041138,0.043478260869565216,0.0
1.0,0.043478260869565216,0.0
