threshold,TPR,FPR
9.999999747378752e-06,1.0,1.0
1.4873522559355479e-05,1.0,1.0
2.2122167138149962e-05,1.0,1.0
3.2903451938182116e-05,1.0,1.0
4.893902223557234e-05,1.0,1.0
7.278956763911992e-05,1.0,1.0
0.00010826366633409634,1.0,1.0
0.00016102619701996446,1.0,0.9926470588235294
0.0002395026822341606,1.0,0.9852941176470589
0.00035622483119368553,1.0,0.9558823529411765
0.0005298317992128432,1.0,0.9191176470588235
0.0007880465127527714,1.0,0.8602941176470589
0.0011721020564436913,1.0,0.7794117647058824
0.0017433286411687732,1.0,0.6985294117647058
0.0025929436087608337,0.875,0.6029411764705882
0.003856620518490672,0.875,0.5514705882352942
0.005736153107136488,0.75,0.45588235294117646
0.008531680330634117,0.75,0.35294117647058826
0.01268961001187563,0.75,0.2867647058823529
0.0188739150762558,0.625,0.2426470588235294
0.028072157874703407,0.625,0.20588235294117646
0.04175318777561188,0.625,0.16176470588235295
0.06210169568657875,0.5,0.16176470588235295
0.09236709773540497,0.375,0.11764705882352941
0.1373823583126068,0.375,0.11029411764705882
0.20433597266674042,0.375,0.058823529411764705
0.30391955375671387,0.5,0.022058823529411766
0.4520353674888611,0.25,0.022058823529411766
0.6723357439041138,0.125,0.0
1.0,0.125,0.0
