threshold,TPR,FPR
9.999999747378752e-06,1.0,1.0
1.4873522559355479e-05,1.0,1.0
2.2122167138149962e-05,1.0,1.0
3.2903451938182116e-05,1.0,1.0
4.893902223557234e-05,1.0,1.0
7.278956763911992e-05,1.0,0.9917355371900827
0.00010826366633409634,1.0,0.9917355371900827
0.00016102619701996446,1.0,0.9834710743801653
0.0002395026822341606,1.0,0.9669421487603306
0.00035622483119368553,1.0,0.9504132231404959
0.0005298317992128432,1.0,0.9338842975206612
0.0007880465127527714,0.9565217391304348,0.9008264462809917
0.0011721020564436913,1.0,0.8429752066115702
0.0017433286411687732,1.0,0.71900826446281
0.0025929436087608337,0.9130434782608695,0.6033057851239669
0.003856620518490672,0.9565217391304348,0.5206611570247934
0.005736153107136488,0.9130434782608695,0.49586776859504134
0.008531680330634117,0.9130434782608695,0.4049586776859504
0.01268961001187563,0.782608695652174,0.38016528925619836
0.0188739150762558,0.6521739130434783,0.34710743801652894
0.028072157874703407,0.5652173913043478,0.3140495867768595
0.04175318777561188,0.5217391304347826,0.2231404958677686
0.06210169568657875,0.5652173913043478,0.2644628099173554
0.09236709773540497,0.5217391304347826,0.2396694214876033
0.1373823583126068,0.34782608695652173,0.1652892561983471
0.20433597266674042,0.34782608695652173,0.14049586776859505
0.30391955375671387,0.2608695652173913,0.03305785123966942
0.4520353674888611,0.17391304347826086,0.03305785123966942
0.6723357439041138,0.13043478260869565,0.024793388429752067
1.0,0.08695652173913043,0.008264462809917356
